knee_angle,shoulder_angle,risk_score,risk_level,feedback
179.41,161.74,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.75,160.54,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.91,160.06,1,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.61,159.07,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.42,157.75,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.96,156.92,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.35,159.44,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.07,164.03,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
176.52,175.75,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
175.99,17.79,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
176.58,33.53,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
176.53,34.19,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
176.67,36.35,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
175.78,37.53,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
173.65,40.22,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
174.42,42.16,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
174.69,44.55,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
174.27,42.83,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
172.45,42.37,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
169.56,42.78,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
166.07,43.23,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
164.31,42.24,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
162.32,43.05,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
160.07,43.35,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
160.08,42.49,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
157.41,42.03,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
158.22,41.71,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
157.77,42.61,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
155.77,49.87,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
153.41,55.64,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
151.43,59.37,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
150.15,60.23,24,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
154.45,63.64,24,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
154.81,78.86,23,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
154.6,119.57,21,LOW,Movement currently looks acceptable. pose looks within a safer range.
153.96,3.75,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
156.11,42.52,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
155.19,122.93,20,LOW,Movement currently looks acceptable. pose looks within a safer range.
155.47,136.69,18,LOW,Movement currently looks acceptable. pose looks within a safer range.
154.73,123.7,16,LOW,Movement currently looks acceptable. pose looks within a safer range.
154.38,161.54,15,LOW,Movement currently looks acceptable. pose looks within a safer range.
155.18,179.78,13,LOW,Movement currently looks acceptable. pose looks within a safer range.
155.51,171.2,11,LOW,Movement currently looks acceptable. pose looks within a safer range.
154.88,169.33,10,LOW,Movement currently looks acceptable. pose looks within a safer range.
154.84,171.44,8,LOW,Movement currently looks acceptable. pose looks within a safer range.
155.79,179.31,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
153.25,139.72,5,LOW,Movement currently looks acceptable. pose looks within a safer range.
150.08,163.59,4,LOW,Movement currently looks acceptable. pose looks within a safer range.
151.02,118.29,3,LOW,Movement currently looks acceptable. pose looks within a safer range.
153.36,36.9,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
151.97,45.54,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
151.75,49.82,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
152.79,53.43,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
151.91,51.94,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
152.1,48.6,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
152.28,43.78,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
151.45,43.3,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
152.39,43.82,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
152.31,43.08,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
153.29,43.47,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
151.94,48.67,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
152.02,58.95,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
152.85,75.96,23,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
153.53,94.89,24,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
156.61,115.3,22,LOW,Movement currently looks acceptable. pose looks within a safer range.
155.85,144.79,20,LOW,Movement currently looks acceptable. pose looks within a safer range.
155.2,167.62,19,LOW,Movement currently looks acceptable. pose looks within a safer range.
153.52,172.65,17,LOW,Movement currently looks acceptable. pose looks within a safer range.
152.25,173.24,15,LOW,Movement currently looks acceptable. pose looks within a safer range.
152.81,174.41,14,LOW,Movement currently looks acceptable. pose looks within a safer range.
